name,latitude,longitude,show
Emerald Lake Hills,37.47,-122.27,0
Emeryville,37.84,-122.3,0
Empire,37.64,-120.9,0
Encinitas,33.05,-117.26,0
Escalon,37.79,-121,0
Escondido,33.13,-117.07,0
Esparto,38.69,-122.02,0
Etna,41.46,-122.89,0
Eucalyptus Hills,32.89,-116.95,0
Eureka,40.79,-124.16,0
Exeter,36.29,-119.15,0
Fair Oaks,38.65,-121.25,0
Fairbanks Ranch,32.99,-117.19,0
Fairfax town,37.99,-122.6,0
Fairfield,38.26,-122.04,0
Fairmead,37.08,-120.2,0
Fairview,37.68,-122.05,0
Fall River Mills,41.01,-121.44,0
Fallbrook,33.37,-117.23,0
Farmersville,36.31,-119.21,0
Farmington,37.93,-121,0
Fellows,35.18,-119.55,0
Felton,37.04,-122.08,0
Ferndale,40.58,-124.26,0
Fetters Hot Springs-Agua Caliente,38.33,-122.49,0
Fiddletown,38.51,-120.76,0
Fieldbrook,40.97,-124.03,0
Fields Landing,40.72,-124.22,0
Fillmore,34.4,-118.92,0
Firebaugh,36.85,-120.45,0
Fish Camp,37.48,-119.64,0
Florence-Graham,33.97,-118.24,0
Florin,38.48,-121.4,0
Floriston,39.39,-120.02,0
Flournoy,39.93,-122.45,0
Folsom,38.68,-121.15,0
Fontana,34.1,-117.46,0
Foothill Farms,38.69,-121.35,0
Forbestown,39.53,-121.27,0
Ford City,35.16,-119.46,0
Forest Meadows,38.17,-120.41,0
Forest Ranch,39.9,-121.67,0
Foresthill,39.01,-120.83,0
Forestville,38.48,-122.89,0
Fort Bidwell,41.86,-120.16,0
Fort Bragg,39.44,-123.8,0
Fort Irwin,35.25,-116.68,0
Fort Jones,41.61,-122.84,0
Fort Washington,36.88,-119.76,0
Fortuna,40.59,-124.14,0
Foster City,37.58,-122.24,0
Fountain Valley,33.71,-117.95,0
Fowler,36.62,-119.67,0
Franklin,37.33,-120.53,0
Franklin,38.37,-121.46,0
Frazier Park,34.81,-118.95,0
Freedom,36.94,-121.8,0
Freeport,38.46,-121.5,0
Fremont,37.52,-122,3
French Camp,37.88,-121.28,0
French Gulch,40.72,-122.63,0
French Valley,33.6,-117.11,0
Fresno,36.78,-119.79,0
Friant,36.98,-119.71,0
Fruitdale,37.31,-121.94,0
Fruitridge Pocket,38.53,-121.46,0
Fuller Acres,35.3,-118.91,0
Fullerton,33.88,-117.93,0
Fulton,38.49,-122.77,0
Furnace Creek,36.43,-116.87,0
Galt,38.27,-121.3,0
Garberville,40.1,-123.79,0
Garden Acres,37.96,-121.23,0
Garden Farms,35.42,-120.61,0
Garden Grove,33.78,-117.96,0
Gardena,33.89,-118.31,0
Garey,34.89,-120.31,0
Garnet,33.92,-116.49,0
Gasquet,41.84,-123.97,0
Gazelle,41.51,-122.52,0
Georgetown,38.91,-120.84,0
Gerber,40.06,-122.15,0
Geyserville,38.72,-122.9,0
Gilroy,37,-121.58,0
Glen Avon,34.02,-117.49,0
Glen Ellen,38.36,-122.54,0
Glendale,34.18,-118.25,0
Glendora,34.14,-117.85,0
Gold Mountain,39.76,-120.52,0
Gold River,38.63,-121.25,0
Golden Hills,35.15,-118.5,0
Goleta,34.44,-119.86,0
Gonzales,36.51,-121.44,0
Good Hope,33.77,-117.28,0
Goodyears Bar,39.55,-120.89,0
Goshen,36.35,-119.42,0
Graeagle,39.76,-120.65,0
Grand Terrace,34.03,-117.31,0
Grangeville,36.34,-119.71,0
Granite Bay,38.76,-121.17,0
Granite Hills,32.8,-116.91,0
Graniteville,39.44,-120.74,0
Grass Valley,39.22,-121.06,0
Graton,38.44,-122.87,0
Grayson,37.58,-121.18,0
Greeley Hill,37.76,-120.13,0
Green Acres,33.73,-117.08,0
Green Valley,38.26,-122.16,0
Green Valley,34.62,-118.41,0
Greenacres,35.38,-119.12,0
Greenfield,35.27,-119.01,0
Greenfield,36.32,-121.25,0
Greenhorn,39.9,-120.76,0
Greenview,41.55,-122.92,0
Greenville,40.13,-120.95,0
Grenada,41.64,-122.53,0
Gridley,39.36,-121.7,0
Grimes,39.07,-121.9,0
Grizzly Flats,38.64,-120.54,0
Groveland,37.83,-120.24,0
Grover Beach,35.12,-120.62,0
Guadalupe,34.96,-120.57,0
Guerneville,38.51,-122.99,0
Guinda,38.83,-122.2,0
Gustine,37.25,-120.99,0
Hacienda Heights,34,-117.97,0
Half Moon Bay,37.47,-122.44,3
Hamilton Branch,40.28,-121.1,0
Hamilton City,39.74,-122.01,0
Hanford,36.33,-119.65,0
Happy Camp,41.81,-123.39,0
Harbison Canyon,32.83,-116.84,0
Hardwick,36.4,-119.72,0
Hartland,36.65,-118.96,0
Hartley,38.42,-121.95,0
Hasley Canyon,34.48,-118.67,0
Hat Creek,40.81,-121.48,0
Hawaiian Gardens,33.83,-118.07,0
Hawthorne,33.91,-118.35,0
Hayfork,40.56,-123.13,0
Hayward,37.63,-122.11,3
Healdsburg,38.62,-122.87,0
Heber,32.73,-115.52,0
Hemet,33.74,-116.99,0
Herald,38.29,-121.23,0
Hercules,38.03,-122.29,0
Herlong,40.14,-120.14,0
Hermosa Beach,33.87,-118.4,0
Hesperia,34.4,-117.31,0
Hickman,37.63,-120.75,0
Hidden Hills,34.16,-118.66,0
Hidden Meadows,33.22,-117.12,0
Hidden Valley Lake,38.8,-122.55,0
Highgrove,34.01,-117.31,0
Highland,34.11,-117.17,0
Highlands-Baywood Park,37.52,-122.34,0
Hillsborough town,37.56,-122.36,0
Hilmar-Irwin,37.4,-120.85,0
Hiouchi,41.79,-124.07,0
Hollister,36.86,-121.4,0
Holtville,32.81,-115.38,0
Home Garden,36.3,-119.64,0
Home Gardens,33.88,-117.51,0
Homeland,33.75,-117.11,0
Homestead Valley,34.27,-116.41,0
Homewood Canyon,35.89,-117.39,0
Honcut,39.33,-121.54,0
Hood,38.37,-121.52,0
Hopland,38.97,-123.12,0
Hornbrook,41.91,-122.56,0
Hornitos,37.5,-120.24,0
Hughson,37.6,-120.87,0
Humboldt Hill,40.72,-124.2,0
Huntington Beach,33.69,-118.01,0
Huntington Park,33.98,-118.22,0
Huron,36.2,-120.1,0
Hyampom,40.63,-123.47,0
Hydesville,40.56,-124.08,0
Idlewild,35.81,-118.67,0
Idyllwild-Pine Cove,33.74,-116.73,0
Imperial Beach,32.57,-117.12,0
Imperial,32.84,-115.57,0
Independence,36.83,-118.21,0
Indian Falls,40.06,-120.98,0
Indian Wells,33.7,-116.34,0
Indianola,40.81,-124.08,0
Indio,33.73,-116.24,0
Indio Hills,33.84,-116.25,0
Industry,34.02,-117.93,0
Inglewood,33.96,-118.34,0
Interlaken,36.95,-121.74,0
Inverness,38.08,-122.85,0
Inyokern,35.65,-117.82,0
Ione,38.36,-120.94,0
Iron Horse,39.78,-120.48,0
Irvine,33.68,-117.77,0
Irwindale,34.11,-117.96,0
Isla Vista,34.41,-119.86,0
Isleton,38.16,-121.61,0
Ivanhoe,36.39,-119.22,0
Jackson,38.35,-120.77,0
Jacumba,32.63,-116.18,0
Jamestown,37.96,-120.41,0
Jamul,32.72,-116.87,0
Janesville,40.28,-120.53,0
Jenner,38.45,-123.12,0
Johannesburg,35.37,-117.64,0
Johnstonville,40.38,-120.58,0
Johnsville,39.77,-120.71,0
Joshua Tree,34.12,-116.31,0
Julian,33.07,-116.59,0
Junction City,40.73,-123.06,0
June Lake,37.77,-119.1,0
Keddie,40.01,-120.95,0
Keeler,36.48,-117.87,0
Keene,35.23,-118.61,0
Kelly Ridge,39.53,-121.47,0
Kelseyville,38.97,-122.83,0
Kennedy,37.93,-121.25,0
Kennedy Meadows,36.01,-118.11,0
Kensington,37.91,-122.28,0
Kentfield,37.95,-122.55,0
Kenwood,38.42,-122.54,0
Kerman,36.73,-120.06,0
Kernville,35.75,-118.43,0
Keswick,40.61,-122.46,0
Kettleman City,36.01,-119.96,0
Keyes,37.56,-120.91,0
King City,36.22,-121.13,0
Kings Beach,39.25,-120.02,0
Kingsburg,36.52,-119.56,0
Kingvale,39.32,-120.44,0
Kirkwood,38.69,-120.06,0
Klamath,41.53,-124.01,0
Knights Landing,38.8,-121.72,0
Knightsen,37.96,-121.65,0
La Ca▒ada Flintridge,34.21,-118.2,0
La Crescenta-Montrose,34.23,-118.24,0
La Habra,33.93,-117.95,0
La Habra Heights,33.96,-117.95,0
La Honda,37.32,-122.27,3
La Mesa,32.77,-117.02,0
La Mirada,33.9,-118.01,0
La Palma,33.85,-118.04,0
La Porte,39.67,-120.99,0
La Presa,32.71,-117,0
La Puente,34.03,-117.95,0
La Quinta,33.65,-116.28,0
La Riviera,38.57,-121.35,0
La Selva Beach,36.93,-121.84,0
La Verne,34.12,-117.77,0
La Vina,36.88,-120.11,0
Ladera,37.4,-122.2,0
Ladera Heights,34,-118.37,0
Ladera Ranch,33.55,-117.64,0
Lafayette,37.89,-122.12,0
Laguna Beach,33.54,-117.76,0
Laguna Hills,33.59,-117.7,0
Laguna Niguel,33.53,-117.7,0
Laguna Woods,33.61,-117.73,0
Lagunitas-Forest Knolls,38.02,-122.69,0
Lake Almanor Country Club,40.26,-121.15,0
Lake Almanor Peninsula,40.28,-121.13,0
Lake Almanor West,40.23,-121.2,0
Lake Arrowhead,34.25,-117.19,0
Lake California,40.36,-122.21,0
Lake City,41.65,-120.23,0
Lake Davis,39.86,-120.46,0
Lake Don Pedro,37.65,-120.34,0
Lake Elsinore,33.68,-117.33,0
Lake Forest,33.66,-117.67,0
Lake Hughes,34.68,-118.46,0
Lake Isabella,35.64,-118.48,0
Lake Los Angeles,34.61,-117.83,0
Lake Mathews,33.82,-117.37,0
Lake Nacimiento,35.73,-120.87,0
Lake of the Pines,39.04,-121.06,0
Lake of the Woods,34.82,-119,0
Lake Riverside,33.52,-116.81,0
Lake San Marcos,33.12,-117.21,0
Lake Sherwood,34.13,-118.88,0
Lake Wildwood,39.24,-121.2,0
Lakehead,40.9,-122.39,0
Lakeland Village,33.65,-117.37,0
Lakeport,39.04,-122.92,0
Lakeside,32.86,-116.9,0
Lakeview,33.83,-117.12,0
Lakewood,33.85,-118.12,0
Lamont,35.27,-118.92,0
Lanare,36.44,-119.93,0
Lancaster,34.69,-118.18,0
Larkfield-Wikiup,38.51,-122.75,0
Larkspur,37.94,-122.53,3
Las Flores,33.58,-117.62,0
Las Flores,40.07,-122.16,0
Las Lomas,36.87,-121.73,0
Lathrop,37.82,-121.31,0
Laton,36.43,-119.69,0
Lawndale,33.89,-118.35,0
Laytonville,39.67,-123.49,0
Le Grand,37.23,-120.25,0
Lebec,34.84,-118.9,0
Lee Vining,37.95,-119.12,0
Leggett,39.86,-123.73,0
Lemon Cove,36.38,-119.03,0
Lemon Grove,32.73,-117.03,0
Lemon Hill,38.52,-121.46,0
Lemoore,36.3,-119.8,0
Lemoore Station,36.26,-119.9,0
Lennox,33.94,-118.36,0
Lenwood,34.89,-117.11,0
Leona Valley,34.61,-118.3,0
Lewiston,40.7,-122.82,0
Lexington Hills,37.16,-121.99,0
Likely,41.23,-120.5,0
Lincoln,38.87,-121.29,0
Lincoln Village,38.01,-121.33,0
Linda,39.12,-121.54,0
Lindcove,36.36,-119.07,0
Linden,38.02,-121.1,0
Lindsay,36.21,-119.09,0
Linnell Camp,36.31,-119.22,0
Litchfield,40.39,-120.38,0
Little Grass Valley,39.73,-120.96,0
Little River,39.27,-123.78,0
Littlerock,34.52,-117.98,0
Live Oak,36.99,-121.98,0
Live Oak,39.27,-121.67,0
Livermore,37.69,-121.76,0
Livingston,37.39,-120.73,0
Lockeford,38.15,-121.16,0
Lockwood,35.94,-121.08,0
Lodi,38.12,-121.29,0
Lodoga,39.3,-122.51,0
Loleta,40.64,-124.22,0
Loma Linda,34.04,-117.25,0
Loma Mar,37.27,-122.3,0
Loma Rica,39.32,-121.4,0
Lomita,33.79,-118.32,0
Lompico,37.11,-122.05,0
Lompoc,34.66,-120.47,0
London,36.48,-119.44,0
Lone Pine,36.58,-118.08,0
Long Barn,38.1,-120.13,0
Long Beach,33.81,-118.16,0
Lookout,41.21,-121.15,0
Loomis town,38.81,-121.2,0
Los Alamitos,33.8,-118.06,0
Los Alamos,34.74,-120.28,0
Los Altos,37.37,-122.1,3
Los Altos Hills town,37.37,-122.14,0
Los Angeles,34.11,-118.41,0
Los Banos,37.06,-120.84,0
Los Berros,35.08,-120.55,0
Los Gatos town,37.23,-121.96,3
Los Molinos,40.03,-122.1,0
Los Olivos,34.66,-120.12,0
Los Osos,35.31,-120.82,0
Los Ranchos,35.21,-120.63,0
Lost Hills,35.63,-119.68,0
Lower Lake,38.91,-122.61,0
Loyalton,39.68,-120.24,0
Loyola,37.35,-122.1,0
Lucas Valley-Marinwood,38.04,-122.58,0
Lucerne,39.07,-122.78,0
